,Silence,DFAexp,sub_id,ch
71,1,0.8419062547173654,18.0,6.0
72,1,0.7901636434459232,18.0,7.0
73,1,0.7800646555229522,19.0,0.0
74,1,0.7722309073964702,19.0,1.0
75,1,0.753246134286541,19.0,2.0
76,1,0.710977309414522,19.0,3.0
77,1,0.68036673242564,19.0,4.0
78,1,0.7898135914517674,19.0,5.0
79,1,0.735999149514862,19.0,6.0
80,1,0.6434023819596484,19.0,7.0
81,1,0.6744053652090696,19.0,8.0
82,1,0.8899000849750167,23.0,0.0
83,1,0.9054360601142362,23.0,1.0
84,1,0.9353160927311046,23.0,2.0
85,1,0.8989051488132618,23.0,3.0
86,1,0.9333115917536722,23.0,4.0
87,1,0.8408209418232642,23.0,5.0
88,1,0.8834449336131776,23.0,6.0
89,1,0.9112276299033375,23.0,7.0
90,1,0.9072865478263881,30.0,0.0
91,1,0.8910747459086382,30.0,1.0
92,1,0.8804412678734499,30.0,2.0
93,1,0.8375309167661296,30.0,3.0
94,1,0.847737280875054,30.0,4.0
95,1,0.8864760889193222,30.0,5.0
96,1,0.8507044523859643,30.0,6.0
97,1,0.8362218141126068,30.0,7.0
98,1,0.8380101764559376,30.0,8.0
99,1,0.8419206941077584,30.0,9.0
100,1,0.7994086437196463,33.0,0.0
101,1,0.7943695879461075,33.0,1.0
102,1,0.7708780348463868,33.0,2.0
103,1,0.8617645935265394,33.0,3.0
104,1,0.8165693633131705,33.0,4.0
105,1,0.775359626863901,33.0,5.0
106,1,0.7455535204959038,33.0,6.0
107,1,0.865748866434555,35.0,0.0
108,1,0.8342146074629073,35.0,1.0
109,1,0.8348456945107963,35.0,2.0
110,1,0.808535734637598,35.0,3.0
111,1,0.8190628352305211,35.0,4.0
112,1,0.8726397780109408,35.0,5.0
113,1,0.8474502894925935,35.0,6.0
114,1,0.8229293757393172,35.0,7.0
115,1,0.8499949182420501,35.0,8.0
116,1,0.8114810125422993,37.0,0.0
117,1,0.7632023922557547,37.0,1.0
118,1,0.7727721989987704,37.0,2.0
119,1,0.8042538890627515,37.0,3.0
120,1,0.8025555153835798,37.0,4.0
121,1,0.8068537888698604,37.0,5.0
122,1,0.7858981668741745,37.0,6.0
123,1,0.7236937776585821,37.0,7.0
124,1,0.7618966211774988,37.0,8.0
125,1,0.7746414638518532,37.0,9.0
126,1,0.7611851711461952,40.0,0.0
127,1,0.7503081062858965,40.0,1.0
128,1,0.7824735722805971,40.0,2.0
129,1,0.7535474978377827,40.0,3.0
